"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","zeme3"
"CS","CZEMALFA",1186,"HU","Maďarsko","Maďarsko","1900-01-01","9999-09-09","HUN"
"CS","CZEMALFA",1186,"ID","Indonésie","Indonéská republika","1900-01-01","9999-09-09","IDN"
"CS","CZEMALFA",1186,"IE","Irsko","Irsko","1900-01-01","9999-09-09","IRL"
"CS","CZEMALFA",1186,"IL","Izrael","Stát Izrael","1900-01-01","9999-09-09","ISR"
"CS","CZEMALFA",1186,"IM","Man","Ostrov Man","2006-03-29","9999-09-09","IMN"
"CS","CZEMALFA",1186,"IN","Indie","Indická republika","1900-01-01","9999-09-09","IND"
"CS","CZEMALFA",1186,"IO","Britské indickooceánské území","Britské území v Indickém oceánu","1900-01-01","9999-09-09","IOT"
"CS","CZEMALFA",1186,"IQ","Irák","Irácká republika","1900-01-01","9999-09-09","IRQ"
"CS","CZEMALFA",1186,"IR","Írán","Íránská islámská republika","1900-01-01","9999-09-09","IRN"
"CS","CZEMALFA",1186,"IS","Island","Islandská republika","1900-01-01","9999-09-09","ISL"
"CS","CZEMALFA",1186,"IT","Itálie","Italská republika","1900-01-01","9999-09-09","ITA"
"CS","CZEMALFA",1186,"JE","Jersey","Bailiwick Jersey","2006-03-29","9999-09-09","JEY"
"CS","CZEMALFA",1186,"JM","Jamajka","Jamajka","1900-01-01","9999-09-09","JAM"
"CS","CZEMALFA",1186,"JO","Jordánsko","Jordánské hášimovské království","1900-01-01","9999-09-09","JOR"
"CS","CZEMALFA",1186,"JP","Japonsko","Japonsko","1900-01-01","9999-09-09","JPN"
"CS","CZEMALFA",1186,"KE","Keňa","Keňská republika","1900-01-01","9999-09-09","KEN"
"CS","CZEMALFA",1186,"KG","Kyrgyzstán","Kyrgyzská republika","1900-01-01","9999-09-09","KGZ"
"CS","CZEMALFA",1186,"KH","Kambodža","Kambodžské království","1900-01-01","9999-09-09","KHM"
"CS","CZEMALFA",1186,"KI","Kiribati","Republika Kiribati","1900-01-01","9999-09-09","KIR"
"CS","CZEMALFA",1186,"KM","Komory","Komorský svaz","1900-01-01","9999-09-09","COM"
"CS","CZEMALFA",1186,"KN","Svatý Kryštof a Nevis","Federace Svatý Kryštof a Nevis","1900-01-01","9999-09-09","KNA"
"CS","CZEMALFA",1186,"KP","Korejská lidově demokratická republika","Korejská lidově demokratická republika","1900-01-01","9999-09-09","PRK"
"CS","CZEMALFA",1186,"KR","Korejská republika","Korejská republika","1900-01-01","9999-09-09","KOR"
"CS","CZEMALFA",1186,"KW","Kuvajt","Kuvajtský stát","1900-01-01","9999-09-09","KWT"
"CS","CZEMALFA",1186,"KY","Kajmanské ostrovy","Kajmanské ostrovy","1900-01-01","9999-09-09","CYM"
"CS","CZEMALFA",1186,"KZ","Kazachstán","Republika Kazachstán","1900-01-01","9999-09-09","KAZ"
"CS","CZEMALFA",1186,"LA","Laos","Laoská lidově demokratická republika","1900-01-01","9999-09-09","LAO"
"CS","CZEMALFA",1186,"LB","Libanon","Libanonská republika","1900-01-01","9999-09-09","LBN"
"CS","CZEMALFA",1186,"LC","Svatá Lucie","Svatá Lucie","1900-01-01","9999-09-09","LCA"
"CS","CZEMALFA",1186,"LI","Lichtenštejnsko","Lichtenštejnské knížectví","1900-01-01","9999-09-09","LIE"
"CS","CZEMALFA",1186,"LK","Šrí Lanka","Šrílanská demokratická socialistická republika","1900-01-01","9999-09-09","LKA"
"CS","CZEMALFA",1186,"LR","Libérie","Liberijská republika","1900-01-01","9999-09-09","LBR"
"CS","CZEMALFA",1186,"LS","Lesotho","Lesothské království","1900-01-01","9999-09-09","LSO"
"CS","CZEMALFA",1186,"LT","Litva","Litevská republika","1900-01-01","9999-09-09","LTU"
"CS","CZEMALFA",1186,"LU","Lucembursko","Lucemburské velkovévodství","1900-01-01","9999-09-09","LUX"
"CS","CZEMALFA",1186,"LV","Lotyšsko","Lotyšská republika","1900-01-01","9999-09-09","LVA"
"CS","CZEMALFA",1186,"LY","Libye","Libyjský stát","1900-01-01","9999-09-09","LBY"
"CS","CZEMALFA",1186,"MA","Maroko","Marocké království","1900-01-01","9999-09-09","MAR"
"CS","CZEMALFA",1186,"MC","Monako","Monacké knížectví","1900-01-01","9999-09-09","MCO"
"CS","CZEMALFA",1186,"MD","Moldavsko","Moldavská republika","1900-01-01","9999-09-09","MDA"
"CS","CZEMALFA",1186,"ME","Černá Hora","Černá Hora","2006-06-03","9999-09-09","MNE"
"CS","CZEMALFA",1186,"MF","Svatý Martin (FR)","Společenství Svatý Martin","2007-09-21","9999-09-09","MAF"
"CS","CZEMALFA",1186,"MG","Madagaskar","Madagaskarská republika","1900-01-01","9999-09-09","MDG"
"CS","CZEMALFA",1186,"MH","Marshallovy ostrovy","Republika Marshallovy ostrovy","1900-01-01","9999-09-09","MHL"
"CS","CZEMALFA",1186,"MK","Severní Makedonie","Republika Severní Makedonie","1997-05-30","9999-09-09","MKD"
"CS","CZEMALFA",1186,"ML","Mali","Republika Mali","1900-01-01","9999-09-09","MLI"
"CS","CZEMALFA",1186,"MM","Myanmar","Republika Myanmarský svaz","1900-01-01","9999-09-09","MMR"
"CS","CZEMALFA",1186,"MN","Mongolsko","Mongolsko","1900-01-01","9999-09-09","MNG"
"CS","CZEMALFA",1186,"MO","Macao","Zvláštní administrativní oblast Čínské lidové republiky Macao","1900-01-01","9999-09-09","MAC"
"CS","CZEMALFA",1186,"MP","Severní Mariany","Společenství Severní Mariany","1900-01-01","9999-09-09","MNP"
"CS","CZEMALFA",1186,"MQ","Martinik","Martinik","1900-01-01","9999-09-09","MTQ"
"CS","CZEMALFA",1186,"MR","Mauritánie","Mauritánská islámská republika","1900-01-01","9999-09-09","MRT"
"CS","CZEMALFA",1186,"MS","Montserrat","Montserrat","1900-01-01","9999-09-09","MSR"
"CS","CZEMALFA",1186,"MT","Malta","Maltská republika","1900-01-01","9999-09-09","MLT"
"CS","CZEMALFA",1186,"MU","Mauricius","Mauricijská republika","1900-01-01","9999-09-09","MUS"
"CS","CZEMALFA",1186,"MV","Maledivy","Maledivská republika","1900-01-01","9999-09-09","MDV"
"CS","CZEMALFA",1186,"MW","Malawi","Malawiská republika","1900-01-01","9999-09-09","MWI"
"CS","CZEMALFA",1186,"MX","Mexiko","Spojené státy mexické","1900-01-01","9999-09-09","MEX"
"CS","CZEMALFA",1186,"MY","Malajsie","Malajsie","1900-01-01","9999-09-09","MYS"
"CS","CZEMALFA",1186,"MZ","Mosambik","Mosambická republika","1900-01-01","9999-09-09","MOZ"
"CS","CZEMALFA",1186,"NA","Namibie","Namibijská republika","1900-01-01","9999-09-09","NAM"
"CS","CZEMALFA",1186,"NC","Nová Kaledonie","Nová Kaledonie","1900-01-01","9999-09-09","NCL"
"CS","CZEMALFA",1186,"NE","Niger","Nigerská republika","1900-01-01","9999-09-09","NER"
"CS","CZEMALFA",1186,"NF","Norfolk","Území Norfolk","1900-01-01","9999-09-09","NFK"
"CS","CZEMALFA",1186,"NG","Nigérie","Nigerijská federativní republika","1900-01-01","9999-09-09","NGA"
"CS","CZEMALFA",1186,"NI","Nikaragua","Nikaragujská republika","1900-01-01","9999-09-09","NIC"
"CS","CZEMALFA",1186,"NL","Nizozemské království","Nizozemské království","1900-01-01","9999-09-09","NLD"
"CS","CZEMALFA",1186,"NO","Norsko","Norské království","1900-01-01","9999-09-09","NOR"
"CS","CZEMALFA",1186,"NP","Nepál","Nepálská federativní demokratická republika","1900-01-01","9999-09-09","NPL"
"CS","CZEMALFA",1186,"NR","Nauru","Republika Nauru","1900-01-01","9999-09-09","NRU"
"CS","CZEMALFA",1186,"NU","Niue","Niue","1900-01-01","9999-09-09","NIU"
"CS","CZEMALFA",1186,"NZ","Nový Zéland","Nový Zéland","1900-01-01","9999-09-09","NZL"
"CS","CZEMALFA",1186,"OM","Omán","Sultanát Omán","1900-01-01","9999-09-09","OMN"
"CS","CZEMALFA",1186,"PA","Panama","Panamská republika","1900-01-01","9999-09-09","PAN"
"CS","CZEMALFA",1186,"PE","Peru","Peruánská republika","1900-01-01","9999-09-09","PER"
"CS","CZEMALFA",1186,"PF","Francouzská Polynésie","Francouzská Polynésie","1900-01-01","9999-09-09","PYF"
"CS","CZEMALFA",1186,"PG","Papua Nová Guinea","Nezávislý stát Papua Nová Guinea","1900-01-01","9999-09-09","PNG"
"CS","CZEMALFA",1186,"PH","Filipíny","Filipínská republika","1900-01-01","9999-09-09","PHL"
"CS","CZEMALFA",1186,"PK","Pákistán","Pákistánská islámská republika","1900-01-01","9999-09-09","PAK"
